site_plot_id,x,y,long,lat,site,plot,alt,inclin_down,inclin_dir,year,x_stere,y_stere,tempjja_ts_5,tempmax_ts_5,tempjja_ts_10,tempmax_ts_10,tempjja_ts_15,tempmax_ts_15,tempjja_ts_20,tempmax_ts_20,tempjja_ts_30,tempmax_ts_30,tempmin_ts_5,tempmin_ts_10,tempmin_ts_15,tempmin_ts_20,tempmin_ts_30,tempcont_ts_5,tempcont_ts_10,tempcont_ts_15,tempcont_ts_20,tempcont_ts_30,precipjja_ts_5,precipjja_ts_10,precipjja_ts_15,precipjja_ts_20,precipjja_ts_30,insoljja_ts_5,insoljja_ts_10,insoljja_ts_15,insoljja_ts_20,insoljja_ts_30,twi,ndwi,field_rad,twi_90m,slope_90m,asp_90m,dem_rad,ndvi,nir,swir,plotgroup,site_alt_plotgroup_id,site_alt_id,taxon,cover,compet
1_P146,461850.4334,7123912.782,-51.78671,64.239268,1,P146,20,16,115,2011,-335218.789854901,-2816793.67094827,10.342569700876872,11.756082344055176,10.124858395258586,11.252318286895752,9.969925212860108,11.014709917704264,9.561491902669271,10.708011865615845,9.345624764760336,10.570221010843913,-11.103362369537354,-12.14748797416687,-12.572861830393473,-13.772787976264954,-14.358945671717326,22.85944471359253,23.399806261062622,23.587571748097737,24.4807998418808,24.929166682561238,179.83138922452926,162.0630011498928,205.03054713805517,198.87812448441983,213.92042306860287,183.74755249023437,183.7438990275065,183.74015163845485,183.73691584269207,183.7892857869466,2.430163621902466,-0.14306795597076416,0.6840565491250982,6.629465103149414,7.36374044418335,91.84761047363281,0.6666392498075904,0.3369423449039459,1809.575900339527,2382.108631388359,1,1_20_1,1_20,Cassiope tetragona,0,13
1_P146,461850.4334,7123912.782,-51.78671,64.239268,1,P146,20,16,115,2011,-335218.789854901,-2816793.67094827,10.342569700876872,11.756082344055176,10.124858395258586,11.252318286895752,9.969925212860108,11.014709917704264,9.561491902669271,10.708011865615845,9.345624764760336,10.570221010843913,-11.103362369537354,-12.14748797416687,-12.572861830393473,-13.772787976264954,-14.358945671717326,22.85944471359253,23.399806261062622,23.587571748097737,24.4807998418808,24.929166682561238,179.83138922452926,162.0630011498928,205.03054713805517,198.87812448441983,213.92042306860287,183.74755249023437,183.7438990275065,183.74015163845485,183.73691584269207,183.7892857869466,2.430163621902466,-0.14306795597076416,0.6840565491250982,6.629465103149414,7.36374044418335,91.84761047363281,0.6666392498075904,0.3369423449039459,1809.575900339527,2382.108631388359,1,1_20_1,1_20,Empetrum nigrum,0.52,0
1_P146,461850.4334,7123912.782,-51.78671,64.239268,1,P146,20,16,115,2011,-335218.789854901,-2816793.67094827,10.342569700876872,11.756082344055176,10.124858395258586,11.252318286895752,9.969925212860108,11.014709917704264,9.561491902669271,10.708011865615845,9.345624764760336,10.570221010843913,-11.103362369537354,-12.14748797416687,-12.572861830393473,-13.772787976264954,-14.358945671717326,22.85944471359253,23.399806261062622,23.587571748097737,24.4807998418808,24.929166682561238,179.83138922452926,162.0630011498928,205.03054713805517,198.87812448441983,213.92042306860287,183.74755249023437,183.7438990275065,183.74015163845485,183.73691584269207,183.7892857869466,2.430163621902466,-0.14306795597076416,0.6840565491250982,6.629465103149414,7.36374044418335,91.84761047363281,0.6666392498075904,0.3369423449039459,1809.575900339527,2382.108631388359,1,1_20_1,1_20,Rhododendron groenlandicum,0,0
1_P146,461850.4334,7123912.782,-51.78671,64.239268,1,P146,20,16,115,2011,-335218.789854901,-2816793.67094827,10.342569700876872,11.756082344055176,10.124858395258586,11.252318286895752,9.969925212860108,11.014709917704264,9.561491902669271,10.708011865615845,9.345624764760336,10.570221010843913,-11.103362369537354,-12.14748797416687,-12.572861830393473,-13.772787976264954,-14.358945671717326,22.85944471359253,23.399806261062622,23.587571748097737,24.4807998418808,24.929166682561238,179.83138922452926,162.0630011498928,205.03054713805517,198.87812448441983,213.92042306860287,183.74755249023437,183.7438990275065,183.74015163845485,183.73691584269207,183.7892857869466,2.430163621902466,-0.14306795597076416,0.6840565491250982,6.629465103149414,7.36374044418335,91.84761047363281,0.6666392498075904,0.3369423449039459,1809.575900339527,2382.108631388359,1,1_20_1,1_20,Rhododendron tomentosum,0,0
1_P146,461850.4334,7123912.782,-51.78671,64.239268,1,P146,20,16,115,2011,-335218.789854901,-2816793.67094827,10.342569700876872,11.756082344055176,10.124858395258586,11.252318286895752,9.969925212860108,11.014709917704264,9.561491902669271,10.708011865615845,9.345624764760336,10.570221010843913,-11.103362369537354,-12.14748797416687,-12.572861830393473,-13.772787976264954,-14.358945671717326,22.85944471359253,23.399806261062622,23.587571748097737,24.4807998418808,24.929166682561238,179.83138922452926,162.0630011498928,205.03054713805517,198.87812448441983,213.92042306860287,183.74755249023437,183.7438990275065,183.74015163845485,183.73691584269207,183.7892857869466,2.430163621902466,-0.14306795597076416,0.6840565491250982,6.629465103149414,7.36374044418335,91.84761047363281,0.6666392498075904,0.3369423449039459,1809.575900339527,2382.108631388359,1,1_20_1,1_20,Phyllodoce caerulea,0,13
1_P146,461850.4334,7123912.782,-51.78671,64.239268,1,P146,20,16,115,2011,-335218.789854901,-2816793.67094827,10.342569700876872,11.756082344055176,10.124858395258586,11.252318286895752,9.969925212860108,11.014709917704264,9.561491902669271,10.708011865615845,9.345624764760336,10.570221010843913,-11.103362369537354,-12.14748797416687,-12.572861830393473,-13.772787976264954,-14.358945671717326,22.85944471359253,23.399806261062622,23.587571748097737,24.4807998418808,24.929166682561238,179.83138922452926,162.0630011498928,205.03054713805517,198.87812448441983,213.92042306860287,183.74755249023437,183.7438990275065,183.74015163845485,183.73691584269207,183.7892857869466,2.430163621902466,-0.14306795597076416,0.6840565491250982,6.629465103149414,7.36374044418335,91.84761047363281,0.6666392498075904,0.3369423449039459,1809.575900339527,2382.108631388359,1,1_20_1,1_20,Salix glauca,0,0
1_P146,461850.4334,7123912.782,-51.78671,64.239268,1,P146,20,16,115,2011,-335218.789854901,-2816793.67094827,10.342569700876872,11.756082344055176,10.124858395258586,11.252318286895752,9.969925212860108,11.014709917704264,9.561491902669271,10.708011865615845,9.345624764760336,10.570221010843913,-11.103362369537354,-12.14748797416687,-12.572861830393473,-13.772787976264954,-14.358945671717326,22.85944471359253,23.399806261062622,23.587571748097737,24.4807998418808,24.929166682561238,179.83138922452926,162.0630011498928,205.03054713805517,198.87812448441983,213.92042306860287,183.74755249023437,183.7438990275065,183.74015163845485,183.73691584269207,183.7892857869466,2.430163621902466,-0.14306795597076416,0.6840565491250982,6.629465103149414,7.36374044418335,91.84761047363281,0.6666392498075904,0.3369423449039459,1809.575900339527,2382.108631388359,1,1_20_1,1_20,Salix arctophila,0,13
1_P146,461850.4334,7123912.782,-51.78671,64.239268,1,P146,20,16,115,2011,-335218.789854901,-2816793.67094827,10.342569700876872,11.756082344055176,10.124858395258586,11.252318286895752,9.969925212860108,11.014709917704264,9.561491902669271,10.708011865615845,9.345624764760336,10.570221010843913,-11.103362369537354,-12.14748797416687,-12.572861830393473,-13.772787976264954,-14.358945671717326,22.85944471359253,23.399806261062622,23.587571748097737,24.4807998418808,24.929166682561238,179.83138922452926,162.0630011498928,205.03054713805517,198.87812448441983,213.92042306860287,183.74755249023437,183.7438990275065,183.74015163845485,183.73691584269207,183.7892857869466,2.430163621902466,-0.14306795597076416,0.6840565491250982,6.629465103149414,7.36374044418335,91.84761047363281,0.6666392498075904,0.3369423449039459,1809.575900339527,2382.108631388359,1,1_20_1,1_20,Vaccinium uliginosum,0,0
1_P147,461859.6425,7123892.719,-51.786515,64.239089,1,P147,20,35,90,2011,-335211.6097094225,-2816815.0342069017,10.34887539545695,11.763509559631348,10.131347290674846,11.261902046203613,9.976081498463948,11.021559969584148,9.567959507306417,10.714633417129516,9.352377250459458,10.576478290557862,-11.067188739776611,-12.13191885948181,-12.559446493784586,-13.76249577999115,-14.35101351737976,22.83069829940796,23.393820905685423,23.581006463368734,24.477129197120668,24.92749180793762,179.5773260474205,161.8283522307873,204.72958365678787,198.5608242124319,213.5948931435744,186.00386454264324,186.0002405802409,185.99661526150174,185.99346745808919,186.04542253282335,1.968824863433838,-0.06096601113677025,0.5254138342049066,6.657241344451904,4.443145275115967,155.72555541992187,0.7094790171712821,0.4191303551197052,2176.0303012016834,2454.414073176045,1,1_20_1,1_20,Betula nana,0,0
1_P147,461859.6425,7123892.719,-51.786515,64.239089,1,P147,20,35,90,2011,-335211.6097094225,-2816815.0342069017,10.34887539545695,11.763509559631348,10.131347290674846,11.261902046203613,9.976081498463948,11.021559969584148,9.567959507306417,10.714633417129516,9.352377250459458,10.576478290557862,-11.067188739776611,-12.13191885948181,-12.559446493784586,-13.76249577999115,-14.35101351737976,22.83069829940796,23.393820905685423,23.581006463368734,24.477129197120668,24.92749180793762,179.5773260474205,161.8283522307873,204.72958365678787,198.5608242124319,213.5948931435744,186.00386454264324,186.0002405802409,185.99661526150174,185.99346745808919,186.04542253282335,1.968824863433838,-0.06096601113677025,0.5254138342049066,6.657241344451904,4.443145275115967,155.72555541992187,0.7094790171712821,0.4191303551197052,2176.0303012016834,2454.414073176045,1,1_20_1,1_20,Cassiope tetragona,0,16
